"R0000100","R1235800","R1236201","R2600401","R3958501","R5510700","R7274300","S1598200","S2067100","S3861700","S5444300","S7545600","T0042200","T2022600","T3613400","T5213300","T6665100","T8136000","U0017200","U1855500","U3455600"
1,1,323197,351195,371568,394123,417730,436772,451189,475099,509843,519576,539562,563553,577207,587169,593338,607550,631417,0,0
2,1,272178,282614,304775,320558,328562,367919,376110,379402,407710,0,0,0,0,0,0,0,0,0,0
3,1,169357,179756,185726,199884,210206,218483,224813,231328,0,0,0,0,0,0,0,0,0,0,0
4,1,149099,165860,176348,191651,200523,202164,213986,220234,233825,238599,244405,244405,244405,244405,255533,261156,264180,274335,274335
5,1,245150,254550,274510,288726,295935,331384,338761,341726,367224,389958,399145,413102,413102,427291,431920,450091,450091,487907,533876
6,1,218371,236010,249903,258399,265351,268577,299046,305086,313349,328908,336364,343686,351361,351361,354954,367309,380447,394738,406701
7,1,232055,257852,271043,275586,297286,301991,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,291103,316320,334670,354986,376248,393400,406385,427920,459214,467980,485982,0,0,0,0,0,0,0,0
9,1,313027,340652,353192,369530,390194,404397,417739,441364,473364,489701,507072,523920,544310,556015,568566,618091,638555,668767,683097
10,1,322580,331719,341939,351724,362061,374786,382692,408590,428046,448187,463651,478874,494918,0,0,0,0,0,0
11,1,218371,236010,249903,258399,265351,268577,299046,305086,313349,328908,336364,343686,351361,351361,354954,367309,380447,394738,406701
12,1,262572,300098,311647,337377,347866,359987,387949,436454,0,0,0,0,0,0,0,0,0,0,0
13,1,225943,243402,250821,258222,270650,292516,318114,338774,354980,366279,370080,390946,409268,421205,425905,435626,447418,473511,508545
14,1,277820,295255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,225405,239246,247192,266034,279773,290789,299214,307885,328692,341918,0,0,0,0,0,0,0,0,0
16,1,99849,103678,111807,117597,120534,134972,137977,139184,149569,158829,162571,168255,168255,174035,175920,183321,183321,198724,217446
17,1,80825,89911,95597,103892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,96678,99746,105994,114947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,112435,116233,117763,124781,132241,135608,147865,163573,180175,187096,0,0,0,0,0,0,0,0,0
20,1,116518,136423,142627,154763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,99849,103678,111807,117597,120534,134972,137977,139184,149569,158829,162571,168255,168255,174035,175920,183321,183321,198724,217446
22,1,99849,103678,111807,117597,120534,134972,137977,139184,0,0,0,0,0,0,0,0,0,0,0
23,1,91807,97444,100681,108355,113951,118438,121869,125401,133876,139263,159020,159020,162873,162873,165164,167005,172173,185672,194103
24,1,99444,107128,110394,113651,119121,128745,140012,149105,156237,161211,162883,172067,180131,185385,187454,191732,196922,208407,0
25,1,99208,105299,108796,117090,123136,127985,131693,135509,144667,150489,171838,171838,176002,176002,178478,180468,186052,200639,209749
26,1,125910,147421,154124,167238,196336,215423,226582,235672,247327,258048,258048,258048,265951,269711,269711,281652,290083,306228,322222
27,1,114180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,110561,115722,121675,132427,136999,144309,146908,148111,150642,151911,153153,154442,154442,157334,157334,162196,166958,188567,195224
29,1,270278,290937,299985,305055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,261824,288022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,273066,297165,308104,322356,340382,352772,364410,385019,412934,427186,442340,457037,474823,485034,495983,539186,557037,583392,595893
32,1,253941,275939,291946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,314483,339851,367259,395693,412056,430530,460044,497795,515561,524229,539558,551076,558000,568069,577897,596667,622310,649817,676714
34,1,318843,338189,343816,352885,362653,367252,380965,392124,412331,424827,440729,454790,459086,467910,474050,504167,516873,537848,560967
35,1,277640,295575,304320,317322,331584,343882,357667,376647,400949,411308,427555,437997,456479,465732,481639,508546,526022,565905,577337
36,1,348666,376791,407179,438703,456844,477327,510049,551904,571601,581210,598206,610976,618652,629816,640712,661522,689952,720449,0
37,1,320649,346515,374460,403452,420135,438972,469065,507556,525670,534508,550138,561882,568941,579208,589228,608366,634512,662558,689982
38,1,258920,281349,297671,315740,334652,349907,361457,380612,408445,416243,432254,451474,462412,470393,475335,486721,505841,528842,544586
39,1,108588,115402,141739,156811,160259,160259,169180,180221,192923,207598,216732,216732,227198,0,0,0,0,0,0
40,1,293223,311015,316190,324529,333512,337742,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,275578,296642,305867,311037,320637,331385,339234,358912,376942,387225,395571,406589,415638,430953,434919,455318,468415,503424,519786
42,1,255331,271824,279867,291824,304940,316250,328927,346382,368731,378258,393200,402802,419799,428308,0,0,0,0,0
43,1,97296,107927,120100,126674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,100654,115039,119467,129330,133351,137997,148716,167310,180661,190414,196094,196094,204797,204797,211100,220662,220662,239499,256972
45,1,97883,99530,101196,103836,105988,106826,108717,109817,109817,109817,112764,112764,112764,113676,116188,118198,118198,120220,121310
46,1,105822,109396,110836,117441,124462,127631,139167,153951,0,0,0,0,0,0,0,0,0,0,0
47,1,102097,102097,105458,113336,120787,126714,126714,127806,134706,136014,137293,138868,140178,140178,143652,146980,148574,153573,158880
48,1,96295,100790,105975,115339,119322,125689,127952,128999,131204,132309,133391,134514,134514,137033,137033,141268,145415,164236,170034
49,1,102097,102097,105458,113336,120787,126714,126714,127806,134706,136014,137293,138868,140178,140178,143652,146980,148574,153573,158880
50,1,96295,100790,105975,115339,119322,125689,127952,128999,131204,132309,133391,134514,134514,137033,137033,141268,145415,164236,170034
51,1,109664,128399,134237,145659,171003,187627,197345,205263,215413,224751,224751,224751,231635,234910,234910,245310,252653,266715,280645
52,1,104863,115621,117360,121537,126946,131506,144276,155198,168137,174131,188023,192645,192645,192645,194993,202900,209374,242831,252289
53,1,97883,99530,101196,103836,105988,106826,108717,109817,109817,109817,112764,112764,112764,113676,116188,118198,118198,0,0
54,1,97883,99530,101196,103836,105988,106826,108717,109817,109817,109817,112764,112764,112764,113676,116188,118198,118198,120220,121310
55,1,76071,84623,89973,97781,102308,103145,109177,112364,119298,121734,124696,124696,124696,124696,130374,133243,134786,139967,139967
56,1,279754,300084,313323,326691,341189,351576,369158,374485,392382,399714,415889,425933,431494,438738,453760,474317,477715,484903,510373
57,1,90991,93879,99760,108185,114273,119511,126899,145782,158282,161429,170885,176855,176855,176855,178729,182773,184775,195928,195928
58,1,104863,115621,117360,121537,126946,131506,144276,155198,168137,174131,0,0,0,0,0,0,0,0,0
59,1,97296,107927,120100,126674,131895,134420,135841,139787,147334,147334,151730,156507,156507,160305,160305,161956,163583,174183,178346
60,1,281400,289372,298287,306823,315840,326941,333838,356429,373402,390971,404461,417741,431737,442760,454351,0,0,0,0
61,1,96295,100790,105975,115339,119322,125689,127952,128999,131204,132309,133391,134514,134514,137033,137033,141268,145415,164236,170034
62,1,113580,132984,139032,150861,177110,194328,204393,212594,223107,232778,232778,232778,239908,243299,243299,254071,261676,276241,290668
63,1,101379,103085,104810,107544,109773,110642,112600,113739,113739,113739,116791,116791,116791,117736,120338,122419,122419,124514,125643
64,1,113580,132984,139032,150861,177110,194328,204393,212594,223107,232778,232778,232778,239908,0,0,0,0,0,0
65,1,109601,113303,114794,121635,128907,132189,144137,159449,175633,182380,195672,205986,208498,208498,213556,0,0,0,0
66,1,113580,132984,139032,150861,177110,194328,204393,212594,223107,0,0,0,0,0,0,0,0,0,0
67,1,113580,132984,139032,150861,177110,194328,204393,212594,223107,232778,232778,232778,239908,243299,243299,254071,261676,276241,290668
68,1,102999,108760,117401,127787,135970,147929,147929,159384,179336,188805,188805,194205,194205,197082,205235,219508,236884,241343,0
69,1,100771,111782,124390,131198,136605,139221,140693,144779,152596,152596,157149,162097,162097,166030,166030,0,0,0,0
70,1,94241,97231,103322,112049,118354,123779,131431,150989,163935,167194,176988,183171,183171,183171,185112,189301,191374,202925,202925
71,1,113580,132984,139032,150861,177110,194328,204393,212594,223107,232778,232778,232778,239908,243299,243299,0,0,0,0
72,1,105744,105744,109224,117384,125101,131240,131240,132371,139517,140872,0,0,0,0,0,0,0,0,0
73,1,109601,113303,114794,121635,128907,132189,144137,159449,175633,182380,0,0,0,0,0,0,0,0,0
74,1,250421,266597,274485,286212,299076,310168,322601,0,0,0,0,0,0,0,0,0,0,0,0
75,1,289129,314645,326228,341318,360404,373523,385846,407668,437224,452314,468360,483921,502754,513566,525159,570902,589804,617710,630946
76,1,289129,314645,326228,341318,360404,373523,385846,407668,437224,452314,468360,483921,502754,513566,525159,0,0,0,0
77,1,102704,109228,110042,113756,118799,120715,131848,144465,160504,164866,0,0,0,0,0,0,0,0,0
78,1,313374,340520,360274,382144,405033,423497,437475,460659,494346,503783,523162,546424,559662,569322,575303,589083,612225,640063,659119
79,1,109775,121979,128219,130368,140633,142859,152922,155882,166929,177773,186836,197858,202883,202883,208100,218918,242205,270598,270598
80,1,122722,129586,139883,152257,162007,176255,176255,189904,213677,224960,224960,231394,231394,234821,244536,261541,282245,287558,0
81,1,120792,122824,124880,128138,130793,131828,134162,135519,135519,135519,139155,139155,139155,140281,143381,145861,145861,148357,149702
82,1,86613,93305,96149,98987,103751,112133,121946,0,0,0,0,0,0,0,0,0,0,0,0
83,1,100654,115039,119467,129330,133351,137997,148716,167310,180661,190414,196094,196094,204797,204797,211100,220662,220662,0,0
84,1,83226,88513,89172,92182,96268,97820,106842,0,0,0,0,0,0,0,0,0,0,0,0
85,1,319696,328753,338883,348580,358824,371436,379271,404937,424220,444180,459506,474594,490494,503017,516185,553257,573474,614970,639755
86,1,357282,386103,417241,449545,468134,489123,522654,565543,585726,595573,612989,626075,633940,645380,656546,677870,707003,738253,768811
87,1,238852,257308,265150,272975,286113,309228,336288,358129,375261,387205,391223,413282,432651,0,0,0,0,0,0
88,1,297457,327220,355509,376060,400530,421835,436933,0,0,0,0,0,0,0,0,0,0,0,0
89,1,268901,295807,321380,339957,362078,381338,394986,428998,457489,473487,480289,491183,502052,505798,514806,531199,544446,575682,601330
90,1,237947,271954,282420,305737,315242,326226,351566,395522,427084,450140,463568,463568,484143,484143,499041,521646,521646,566176,607484
91,1,197891,213876,226466,234166,240466,243389,271001,276474,283962,298062,304819,311454,318409,318409,321666,332862,0,0,0
92,1,261077,277941,286165,298391,311802,323366,336329,354177,377029,386770,402048,411867,429247,437947,452905,478207,494641,532144,542894
93,1,211045,234506,246503,250634,270370,274650,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,80941,91384,96830,107222,112945,119432,122842,127840,136908,141696,141696,148282,148282,148282,148282,152350,152350,155902,155902
95,1,93976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,282996,307971,319308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,251167,266929,327847,362708,370685,370685,391318,416857,446236,480182,501308,501308,525517,533171,533171,578193,617272,641842,653686
98,1,309623,344218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,97661,101406,109357,115020,117892,132014,134953,136134,0,0,0,0,0,0,0,0,0,0,0
100,1,101111,112160,124810,131641,137067,139691,141168,145269,153111,153111,157680,162645,162645,166592,166592,168308,169998,181014,185340
101,1,101111,112160,124810,131641,137067,139691,141168,145269,153111,153111,157680,162645,162645,166592,166592,168308,169998,181014,0
102,1,217367,234925,248754,257211,264132,267343,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,224369,238146,246055,264812,278487,289452,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,336171,363289,392587,422982,440473,460222,491771,532126,551117,560382,576769,589082,596482,607246,617752,637816,665228,694632,723383
105,1,267691,284983,293415,305950,319702,331559,344850,363150,386581,396569,412234,422301,440121,449042,464379,490322,507172,545625,556648
106,1,279881,307886,334503,353840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,299047,320779,334931,349222,364720,375822,394617,400311,419443,427281,444571,455308,461252,468995,485053,507029,510661,518345,545572
108,1,300806,309328,318859,327983,337622,349489,356861,381011,399154,417935,432355,446551,461512,473295,485685,520567,539589,578633,601953
109,1,299047,320779,334931,349222,364720,375822,394617,400311,419443,427281,444571,455308,461252,468995,485053,507029,510661,518345,545572
110,1,307418,326070,331496,340239,349657,354091,367313,378073,397555,409604,424935,438492,442634,451142,457062,486100,498351,518574,540865
111,1,271454,294969,312081,331025,350852,366846,378955,399037,428218,436392,453179,473329,484797,493164,498345,510282,530328,554442,570949
112,1,306442,325036,330444,339160,348548,352968,366148,376873,396293,408304,0,0,0,0,0,0,0,0,0
113,1,299852,308347,317847,326943,336551,348380,355729,379802,397888,416609,430983,445134,460048,471794,484144,518915,537877,0,0
114,1,298098,319761,333869,348114,363562,374630,393365,399041,418112,425925,443160,453863,459789,467507,483514,505420,509041,516700,543841
115,1,201811,214630,216229,223528,233436,237201,259077,0,0,0,0,0,0,0,0,0,0,0,0
116,1,112046,115831,117356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,112046,115831,117356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,303286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,277203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,277203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1,261824,288022,312922,331011,352550,371303,384592,417708,0,0,0,0,0,0,0,0,0,0,0
122,1,281400,289372,298287,306823,315840,326941,333838,356429,373402,390971,404461,417741,431737,442760,454351,486982,504777,541302,563118
123,1,298759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,273066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1,287584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,1,261824,288022,312922,331011,352550,371303,384592,417708,445450,461027,467650,478258,488840,492487,501258,517220,530118,560533,585506
127,1,288362,309317,322964,336743,351687,362393,380516,386007,404455,412013,428686,439039,444771,452237,0,0,0,0,0
128,1,288362,309317,322964,336743,351687,362393,380516,386007,404455,412013,0,0,0,0,0,0,0,0,0
129,1,324159,350308,378559,407868,424734,443777,474199,513112,0,0,0,0,0,0,0,0,0,0,0
130,1,261754,284429,300929,319197,338315,353738,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1,307952,342360,371882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,1,258126,274800,282931,295018,308278,319711,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1,281468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1,290058,298275,307465,316264,325558,337001,344110,367396,384891,0,0,0,0,0,0,0,0,0,0
135,1,269880,296884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,1,278594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,1,327319,353723,382249,411844,428874,448103,478822,518114,536605,545626,561581,573569,580775,591256,601485,621020,647710,676340,704335
138,1,297033,305448,314859,323869,333387,345104,352384,376231,394147,412692,426931,440949,455723,467358,479592,514036,532820,571374,594402
139,1,303561,321980,327337,335971,345271,349649,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1,235853,262072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,1,326816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1,263899,286760,303395,321812,341088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,1,127078,134186,144848,157661,167758,182512,182512,0,0,0,0,0,0,0,0,0,0,0,0
144,1,116272,119962,127477,138244,146023,152716,162157,186287,202260,206281,218365,225993,225993,225993,228388,233556,236114,250365,250365
145,1,135224,139791,141631,150071,159043,163092,177834,196725,216692,225017,241416,254141,257241,257241,263481,274712,290391,317786,340937
146,1,135224,139791,141631,150071,159043,163092,177834,196725,216692,225017,241416,254141,257241,257241,263481,274712,290391,317786,340937
147,1,317541,336808,342412,351444,361171,365751,379409,390523,410646,423092,438928,452932,457210,465998,472113,502107,514762,535651,0
148,1,116180,116180,120004,128969,137447,144192,144192,145435,153286,154775,156229,158022,159513,159513,163467,167253,169067,174755,0
149,1,109578,114693,120592,131248,135780,143025,145601,146793,149301,150559,151790,153067,153067,155934,155934,160753,165473,186889,193487
150,1,120418,124485,126124,133640,141629,145235,158362,175186,192966,200379,214983,226315,229076,229076,234632,244633,258595,282991,303608
151,1,116180,116180,120004,128969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1,103541,106827,113519,123107,130034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1,92105,103989,110186,122011,128523,135906,139786,145473,155792,161241,161241,168734,168734,168734,168734,173364,173364,177406,177406
154,1,310475,345166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1,310475,345166,374929,410847,440505,456254,492503,525256,552058,569634,582062,591742,599446,610093,626101,649598,674114,725696,756935
156,1,283774,308818,320186,334997,353730,366606,378701,400118,429128,443938,459686,474960,493444,504055,515434,560330,578882,606271,619262
157,1,83710,90472,95798,99055,101720,102956,114636,116952,120119,126084,128941,131748,134690,134690,136068,140804,145840,151319,155905
158,1,86613,93305,96149,98987,103751,112133,121946,129865,136078,140409,141866,149865,156889,161464,163266,166993,171513,0,0
159,1,102724,113226,128252,134314,147709,147709,164136,166344,177388,183705,189361,189361,189361,189361,196514,208118,226376,235077,247149
160,1,76071,84623,89973,97781,102308,103145,109177,112364,0,0,0,0,0,0,0,0,0,0,0
161,1,93976,97579,105230,110680,113443,127032,129860,130997,140771,149486,153008,0,0,0,0,0,0,0,0
162,1,97296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,1,104863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1,271658,295190,312315,331273,351115,367121,379239,399336,428539,436720,453519,473684,485160,493534,498719,510665,530726,554858,571377
165,1,319603,355313,385952,422925,453456,469667,506982,540698,568288,586381,599174,609138,617069,628029,644508,668695,693932,747031,779188
166,1,299272,321020,335183,349484,364993,376104,394913,400611,419758,427601,444905,455649,461598,469347,485417,507409,511044,518734,545981
167,1,232733,250716,258358,265982,278783,301306,327674,348955,365648,377286,381201,402695,421568,433863,438704,448718,460864,487741,523828
168,1,270463,309116,321013,347516,358319,370805,0,0,0,0,0,0,0,0,0,0,0,0,0
169,1,289135,311235,320914,326338,336411,347688,355923,376569,395486,406274,415031,426591,436085,452154,456315,477718,491459,528190,545357
170,1,307648,326315,331744,340495,349919,354357,367589,378356,397853,409911,425254,438821,442966,451481,457405,486464,498725,518963,541271
171,1,223632,237837,239609,247697,258677,262848,287090,314564,349487,358984,378885,401338,412296,417388,430523,430523,444608,468709,468709
172,1,254974,271444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1,320201,346030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1,254974,271444,279476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,1,258558,280956,297254,315299,334184,349418,360951,0,0,0,0,0,0,0,0,0,0,0,0
176,1,278031,302568,313706,328217,346571,359186,371036,392020,420442,434953,450382,465347,483456,493853,505001,548989,567165,594000,606728
177,1,320201,346030,373937,402887,419548,438358,468409,506846,524935,533760,549369,561096,568145,578398,588404,607515,633624,661632,689017
178,1,320201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1,258558,280956,297254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,1,254974,271444,279476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,1,284840,305540,319020,332631,347393,357968,375870,381293,399516,406982,423451,433677,439339,446715,462010,482941,486401,493720,519653
182,1,292813,310580,315747,324076,333046,337269,349863,360111,378668,390145,404748,417661,421606,429710,435348,463006,474676,493938,515170
183,1,320201,346030,373937,402887,419548,438358,468409,506846,524935,533760,549369,561096,568145,578398,588404,607515,633624,661632,689017
184,1,287028,295159,304253,312960,322157,333480,340514,363558,380870,398791,412550,426096,0,0,0,0,0,0,0
185,1,230831,243743,263109,286385,304724,331524,331524,357196,401911,423133,423133,435235,435235,441682,459955,491941,0,0,0
186,1,275684,296756,305984,311156,320760,331513,339364,0,0,0,0,0,0,0,0,0,0,0,0
187,1,206479,229433,241171,245213,264521,268708,287636,293204,313981,334379,351425,372156,381608,381608,391421,411769,455570,508977,508977
188,1,314483,339851,367259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,1,287584,305034,310109,318289,327099,331247,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1,250421,266597,274485,286212,299076,310168,0,0,0,0,0,0,0,0,0,0,0,0,0
191,1,292117,317897,329600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1,203784,220245,233210,241138,247626,250636,279070,284707,292418,306938,313895,320728,327891,327891,331244,342773,355034,368370,379534
193,1,236857,262739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,1,250072,275638,312216,326975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,1,255279,281468,285701,295869,309038,320139,351226,377815,409312,423906,457723,468976,468976,468976,474692,493939,509700,591149,614172
196,1,197099,212329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,1,253941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,1,314483,339851,367259,395693,412056,430530,460044,497795,0,0,0,0,0,0,0,0,0,0,0
199,1,284212,309294,320680,335513,354275,367171,379284,400735,429789,444622,460394,475691,494204,504832,516228,561193,579774,607204,620216
200,1,310954,345697,375507,411480,441184,456956,493261,526065,552908,0,0,0,0,0,0,0,0,0,0
201,1,281310,302812,312229,317507,327307,338279,346290,366378,384783,395279,403799,415046,424283,439917,443966,464789,478159,513896,530598
202,1,290133,315737,327360,342503,361656,374820,387186,409083,438743,453885,469986,485602,504500,515349,526982,572885,591852,619854,633137
203,1,305558,324098,329491,338182,347542,351950,365091,375786,395150,407126,422365,435840,439957,448414,454298,483160,495337,515438,537594
204,1,269812,293185,310193,329023,348730,364627,376663,396623,425628,433753,450438,470466,481864,490181,495331,507196,527120,551089,567496
205,1,287171,309121,318734,324121,334125,345326,353505,374011,392799,403514,412211,423693,0,0,0,0,0,0,0
206,1,290133,315737,327360,342503,361656,374820,387186,409083,438743,453885,469986,0,0,0,0,0,0,0,0
207,1,269812,293185,310193,329023,348730,364627,376663,396623,0,0,0,0,0,0,0,0,0,0,0
208,1,305558,324098,329491,338182,347542,351950,365091,375786,0,0,0,0,0,0,0,0,0,0,0
209,1,93721,104140,109468,111302,120067,121967,130558,133086,142516,0,0,0,0,0,0,0,0,0,0
210,1,91253,98304,101300,104290,109309,118140,128478,136823,0,0,0,0,0,0,0,0,0,0,0
211,1,108227,119292,135122,141510,155622,155622,172929,175256,186891,193547,199506,199506,199506,199506,207042,219267,238503,247670,260390
212,1,112205,119246,146461,162034,165597,165597,174815,186224,199349,214514,223951,223951,234766,238186,238186,258299,275757,286733,0
213,1,88194,95319,100930,104361,107169,108472,120777,123217,126554,132838,135849,138806,141906,141906,143357,148347,153653,159425,164257
214,1,88194,95319,100930,104361,107169,108472,120777,123217,126554,132838,135849,138806,141906,141906,0,0,0,0,0
215,1,106046,121202,125867,136258,140494,145390,156683,176273,190339,200614,206599,206599,215769,215769,222409,232483,232483,252329,270739
216,1,108227,119292,135122,141510,155622,155622,172929,175256,186891,193547,199506,199506,199506,199506,207042,219267,238503,247670,260390
217,1,88194,95319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,1,93721,104140,109468,111302,120067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,1,273066,297165,308104,322356,340382,352772,364410,385019,412934,427186,442340,457037,474823,485034,495983,539186,557037,583392,595893
220,1,281400,289372,298287,306823,315840,326941,333838,356429,0,0,0,0,0,0,0,0,0,0,0
221,1,287584,305034,310109,318289,327099,331247,343615,353681,371906,383178,397520,410202,414077,422036,427574,454738,466200,485118,505971
222,1,229052,261787,271862,294308,303457,314031,338424,380737,411119,433312,446239,446239,466044,466044,480386,502146,502146,545011,0
223,1,229052,261787,271862,294308,303457,314031,338424,380737,411119,433312,446239,446239,466044,466044,480386,502146,502146,545011,584775
224,1,279754,300084,313323,326691,341189,351576,369158,374485,392382,399714,415889,425933,431494,438738,453760,474317,477715,484903,510373
225,1,298759,332140,360781,395343,423882,439037,473918,505435,531226,548139,560097,569412,576826,587070,602475,625085,648676,698311,728371
226,1,221410,245603,273304,288263,300144,305891,309125,318104,335278,335278,345283,0,0,0,0,0,0,0,0
227,1,314483,339851,367259,395693,412056,430530,460044,497795,0,0,0,0,0,0,0,0,0,0,0
228,1,303911,312521,322150,331369,341107,353096,360545,384944,403274,422249,436818,451161,466276,478181,490699,525940,545159,584606,608167
229,1,310591,329436,334918,343752,353266,357746,371105,381975,401659,413832,429322,443019,447203,455799,461780,491118,503496,523927,546448
230,1,107825,116156,119697,123229,129160,139595,151811,161670,169404,174796,176610,186568,195312,201008,203251,207890,213518,225970,242689
231,1,132582,140902,173059,191460,195671,195671,206562,220044,235552,253470,264622,264622,277401,281442,281442,305207,325835,338805,345057
232,1,107825,116156,119697,123229,129160,139595,0,0,0,0,0,0,0,0,0,0,0,0,0
233,1,132582,140902,173059,191460,195671,195671,206562,220044,235552,253470,264622,264622,277401,281442,281442,305207,325835,0,0
234,1,107568,114173,117965,126957,133514,138771,142791,146929,156859,163171,186319,186319,190834,190834,193518,195676,201731,217547,227425
235,1,274256,298014,315302,334442,354474,370633,382866,403156,432638,440897,457857,478215,489801,498255,503489,515550,535802,560166,576843
236,1,103608,110190,111011,114758,119845,121777,133008,145737,161917,166317,0,0,0,0,0,0,0,0,0
237,1,270454,287925,296444,309109,323002,334981,348409,366899,390571,400662,0,0,0,0,0,0,0,0,0
238,1,253941,275939,291946,309668,328216,343178,354506,373292,400591,408238,423942,442792,453519,461347,466194,477361,496113,518672,534114
239,1,298759,332140,360781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,1,270278,290937,299985,305055,314471,325013,332710,352010,369693,379778,387964,398770,407645,422665,426555,446562,459407,493743,509790
241,1,91489,97107,100332,107980,113557,118028,121448,124967,133412,138781,158469,158469,162309,162309,164592,166428,171577,185029,193431
242,1,91708,98794,101805,104809,109854,118729,129119,137505,144082,148669,150211,158681,166117,170962,172870,176816,181602,192193,206413
243,1,286177,308051,317631,323000,332969,344131,352281,372717,391440,402118,410785,422227,431624,447528,451647,0,0,0,0
244,1,94188,104659,110013,111857,120665,122575,131209,133749,143227,152531,160308,169764,174076,174076,178552,187834,207814,232177,232177
245,1,304501,322977,328351,337011,346340,350732,363828,374486,393783,405718,420904,434332,438435,446862,452726,481488,493623,513654,535733
246,1,112764,119841,147191,162842,166423,166423,175686,187153,0,0,0,0,0,0,0,0,0,0,0
247,1,335644,365265,378711,396229,418386,433615,447921,473253,507565,525082,543709,561774,583637,596188,609646,662749,684692,717087,732452
248,1,332217,357610,368731,374964,386537,399495,408956,432679,454414,466810,476872,490155,501063,519526,524308,548899,564688,606893,626617
249,1,321826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,1,321826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,1,308901,320745,345896,363808,372892,417559,426855,430591,462719,491365,502941,520528,520528,538407,544240,567136,567136,614787,672708
252,1,273566,290943,293111,303004,316436,321539,351193,384801,427522,439140,463484,490951,504356,510584,526653,526653,543882,573365,573365
