"R0000100","R1235800","R1236201","R2600401","R3958501","R5510700","R7274300","S1598200","S2067100","S3861700","S5444300","S7545600","T0042200","T2022600","T3613400","T5213300","T6665100","T8136000","U0017200","U1855500","U3455600"
5545,1,258009,274676,282803,294885,308139,319567,332377,350016,372599,382226,397324,407027,424203,432801,447583,472588,488828,525891,536515
5546,1,289927,298140,307326,316121,325411,336848,343954,367230,384717,402819,416718,430400,444820,456177,468119,501739,520073,557705,0
5547,1,307813,342205,371714,407323,436727,452341,488279,520751,547323,564749,577070,586667,594305,0,0,0,0,0,0
5548,1,261636,284301,300793,319052,338162,353578,365249,384604,412730,420609,436789,456210,467262,475327,480321,491826,511147,534389,550299
5549,1,281341,306170,317440,332124,350697,363462,375453,396687,425447,440131,455744,470886,489212,499732,511013,555525,573917,601071,613951
5550,1,258009,274676,282803,294885,308139,319567,332377,350016,372599,382226,397324,407027,424203,432801,447583,0,0,0,0
5551,1,261636,284301,300793,319052,338162,353578,365249,384604,412730,420609,436789,456210,467262,475327,480321,491826,511147,534389,550299
5552,1,258009,274676,282803,294885,308139,319567,332377,350016,372599,382226,397324,407027,424203,432801,447583,472588,488828,525891,536515
5553,1,258009,274676,282803,294885,308139,319567,332377,350016,372599,382226,397324,407027,424203,432801,447583,472588,488828,525891,536515
5554,1,108197,111852,113324,120078,127256,130496,142292,157407,173384,180044,193166,203348,205829,205829,210821,219808,232352,254273,272797
5555,1,305467,339598,368881,404219,433399,448894,484558,516783,543153,560445,572673,582197,589776,600251,0,0,0,0,0
5556,1,267703,294489,319948,338443,360465,379640,393227,427087,455451,471378,478150,488995,499815,503545,512513,528833,542021,573118,598652
5557,1,305467,339598,368881,404219,433399,448894,484558,516783,543153,560445,572673,582197,589776,600251,616002,639119,663240,713990,744725
5558,1,82758,93436,99004,109629,115481,122114,125600,130710,139982,144878,144878,151611,151611,151611,151611,155771,155771,159403,159403
5560,1,99480,110351,122797,129518,134856,137438,138891,142926,150642,150642,155137,160021,160021,163904,163904,165593,167256,178094,182350
5561,1,261824,288022,312922,331011,352550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5562,1,270278,290937,299985,305055,314471,325013,332710,352010,369693,379778,387964,398770,407645,422665,426555,446562,459407,493743,509790
5563,1,253941,275939,291946,309668,328216,343178,354506,373292,400591,408238,423942,442792,453519,461347,466194,477361,496113,518672,534114
5564,1,279754,300084,313323,326691,341189,351576,369158,374485,392382,399714,415889,425933,431494,438738,453760,474317,477715,484903,510373
5565,1,270278,290937,299985,305055,314471,325013,332710,352010,369693,379778,387964,398770,407645,422665,426555,446562,459407,0,0
5566,1,281400,289372,298287,306823,315840,326941,333838,356429,373402,390971,404461,417741,431737,442760,454351,486982,504777,541302,563118
5567,1,219133,229362,241160,262471,271532,286022,291173,293556,298573,301088,303549,306104,306104,0,0,0,0,0,0
5568,1,238630,263111,267068,276573,288883,299260,328320,353175,382618,396260,427871,438391,438391,438391,443734,461726,476459,552596,574117
5569,1,207062,213633,227016,246190,260043,271963,288775,331747,360193,367353,388872,402457,402457,402457,406722,415925,420481,445860,445860
5570,1,270278,290937,299985,305055,314471,325013,332710,352010,369693,379778,387964,398770,407645,422665,426555,446562,459407,493743,509790
5571,1,253941,275939,291946,309668,328216,343178,354506,373292,400591,408238,423942,442792,453519,461347,466194,477361,496113,518672,534114
5572,1,232336,232336,239984,257912,274867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5573,1,184192,207957,220350,243998,257021,271785,279544,290917,311553,322449,322449,337435,337435,337435,337435,346693,346693,354777,354777
5574,1,238630,263111,267068,276573,288883,299260,328320,353175,382618,396260,427871,438391,438391,438391,443734,461726,476459,552596,574117
5575,1,219133,229362,241160,262471,271532,286022,291173,293556,298573,301088,303549,306104,306104,311837,311837,321474,330912,373740,386936
5576,1,219133,229362,241160,262471,271532,286022,291173,293556,298573,301088,303549,306104,306104,311837,311837,321474,330912,373740,386936
5577,1,240811,248945,252222,267252,283230,290441,316693,0,0,0,0,0,0,0,0,0,0,0,0
5578,1,222746,226494,230285,236293,241189,243098,247401,249904,249904,249904,256609,256609,256609,258685,264402,268975,268975,273578,276058
5579,1,284938,310085,321500,336371,355181,368110,380254,401759,430888,445759,461572,476908,0,0,0,0,0,0,0
5580,1,291917,313131,326946,340895,356024,366861,385208,390766,409442,417093,433971,444452,450255,457813,473488,494940,498485,505986,532564
5581,1,273208,300545,326528,345403,367878,387447,401313,435870,464817,481072,487982,499051,510094,513900,523052,539708,553167,584904,610963
5582,1,293634,301953,311256,320163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5583,1,264982,287936,304640,323132,342487,358099,369919,389522,418008,425988,442374,462043,473238,481406,486463,498116,517683,0,0
5584,1,291917,313131,326946,340895,356024,366861,385208,390766,409442,417093,433971,444452,450255,457813,473488,494940,498485,505986,532564
5585,1,260452,283014,299432,317609,336632,351978,363596,382864,410862,418706,0,0,0,0,0,0,0,0,0
5586,1,280068,304784,316004,330621,349110,361817,373754,394892,423522,438139,453682,468756,486998,497471,508701,553011,571320,0,0
5587,1,286927,307778,321357,335068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5588,1,306420,340657,370032,405480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5589,1,96295,100790,105975,115339,119322,125689,127952,128999,131204,132309,133391,134514,134514,137033,137033,141268,145415,164236,170034
5590,1,80941,91384,96830,107222,112945,119432,122842,127840,136908,141696,141696,148282,148282,148282,148282,152350,152350,155902,155902
5591,1,105822,109396,110836,117441,124462,127631,139167,153951,169576,176091,188924,198883,201309,201309,206192,214981,227250,248689,266807
5592,1,109664,128399,134237,145659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5593,1,90991,93879,99760,108185,114273,119511,126899,145782,158282,161429,170885,176855,176855,176855,178729,182773,184775,195928,195928
5594,1,287584,305034,310109,318289,327099,331247,343615,353681,371906,383178,397520,410202,414077,422036,427574,454738,466200,485118,505971
5595,1,298759,332140,360781,395343,423882,439037,473918,505435,531226,548139,560097,569412,576826,587070,602475,625085,648676,698311,728371
5596,1,104863,115621,117360,121537,126946,131506,144276,155198,168137,174131,188023,192645,192645,192645,194993,202900,209374,242831,252289
5597,1,80941,91384,96830,107222,112945,119432,122842,127840,136908,141696,141696,148282,148282,148282,148282,152350,152350,155902,155902
5598,1,99447,105010,113353,123381,131282,142828,142828,153888,173152,182295,182295,187509,187509,190286,198158,211939,228716,233021,247395
5599,1,104863,115621,117360,121537,126946,131506,144276,155198,168137,174131,188023,192645,192645,192645,194993,202900,209374,242831,252289
5600,1,105822,109396,110836,117441,124462,127631,139167,153951,0,0,0,0,0,0,0,0,0,0,0
5601,1,80941,91384,96830,107222,112945,119432,122842,127840,136908,141696,141696,148282,148282,148282,148282,152350,152350,155902,155902
5602,1,119340,139728,146082,158511,186091,204182,214758,223374,234421,244582,244582,244582,252073,255637,255637,266955,274946,290249,305408
5603,1,88083,99448,105374,116683,122910,129971,133681,139120,148989,154199,154199,161366,161366,161366,161366,165793,165793,169658,169658
5604,1,114116,125823,127715,132261,138147,143110,157006,168892,182972,189496,204613,209643,209643,209643,212199,220803,227848,0,0
5605,1,115159,119049,120615,127803,135444,138892,151446,167535,184539,191628,205594,216431,219071,219071,224385,233950,0,0,0
