"ID","year","sw","race","sex","industry","occupation","ghealth","mental.pc.index","precarious","education","income","spouse.exist","child.exist","urban","union","spouse.precarious","injill","Lz","lag.ghealth","lag.precarious","lag.Lz","lag.mental.pc.index","precarious_dummy","region","age","marriage","nchild","hourly"
"1","2011","31.7480044050936","4","2","6","management","1.37945187078737","0.243583698931447",NA,"-0.246826354059456","0.472902532944519","-0.879985972316203","-0.895961232396951","0.469341430692745","-0.425749567958988","-0.243442464796621","1.20411503359496",NA,"1.36329358551881",NA,NA,"0.232899341572067",NA,"-1.72977444945071","-0.946790045294711","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"1","2013","31.4192264322537","4","2","6","management","0.361562931136014","0.243583698931447","0.0781710432185235","-0.246826354059456","0.769070431358027","-0.879985972316203","-0.895961232396951","0.469341430692745","-0.425749567958988","-0.243442464796621","-0.720709871766855","-0.620332538212181","1.36329358551881",NA,NA,"0.232899341572067","-0.542479697931841","-1.72977444945071","-0.311065516426662","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"1","2015","30.7046671181989","4","2","6","management","-0.656326008515344","0.243583698931447","0.0781710432185235","0.751496554424173","1.24350603593318","-0.879985972316203","-0.895961232396951","0.469341430692745","-0.425749567958988","-0.243442464796621","-0.720709871766855","-0.620332538212181","0.344132985314097","0.00797349409145371","-0.66384908456771","0.232899341572067","-0.542479697931841","-1.72977444945071","0.324659012441388","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"1","2017","30.5992132016178","4","2",NA,NA,NA,NA,NA,NA,NA,"-0.879985972316203","-0.895961232396951",NA,NA,"-0.243442464796621",NA,NA,"-0.675027614890621","0.00797349409145371","-0.66384908456771","0.232899341572067",NA,NA,"0.960383541309437","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"1","2019","32.3197","4","2",NA,NA,NA,NA,NA,NA,NA,"-0.879985972316203","-0.895961232396951",NA,NA,"-0.243442464796621",NA,NA,NA,NA,NA,NA,NA,NA,"1.59610807017749","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"2","2011","29.7870440040761","2","1","16","protective","1.37945187078737","0.243583698931447",NA,"-0.246826354059456","0.897541723793477","-0.879985972316203","-0.895961232396951","0.469341430692745","2.34870118512331","-0.243442464796621","-0.079101569979582",NA,"1.36329358551881",NA,NA,"0.232899341572067",NA,"-1.72977444945071","-1.26465230972874","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"2","2013","28.4283398027996","2","1","12","protective","0.361562931136014","0.243583698931447",NA,"-0.246826354059456","0.919011548648525","-0.879985972316203","-0.895961232396951","0.469341430692745","2.34870118512331","-0.243442464796621","-0.720709871766855",NA,"1.36329358551881",NA,NA,"0.232899341572067",NA,"-1.72977444945071","-0.628927780860686","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"2","2015","27.810448829935","2","1","12","protective","0.361562931136014","0.243583698931447","0.0781710432185235","0.252335100182358","1.07353570354273","-0.879985972316203","-0.895961232396951","0.469341430692745","2.34870118512331","-0.243442464796621","-0.720709871766855","-0.620332538212181","0.344132985314097",NA,NA,"0.232899341572067","-0.542479697931841","-1.72977444945071","0.00679674800736314","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"2","2017","27.6832641259982","2","1","12","protective","-0.656326008515344","0.243583698931447",NA,"0.252335100182358","1.21366512892368","-0.879985972316203","-0.895961232396951","-2.13057812011653","2.34870118512331","-0.243442464796621","-0.720709871766855",NA,"0.344132985314097","0.00797349409145371","-0.66384908456771","0.232899341572067",NA,"-1.72977444945071","0.642521276875413","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"2","2019","26.22382977127","2","1","12","protective","0.361562931136014","0.243583698931447","0.0781710432185235","0.252335100182358","1.30306072245033","1.13635451000516","-0.895961232396951","-2.13057812011653","2.34870118512331","-0.243442464796621","-0.720709871766855","-0.620332538212181","-0.675027614890621",NA,NA,"0.232899341572067","-0.542479697931841","-1.72977444945071","1.27824580574346","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"3","2011","16.9357","2","2","12","office","-1.6742149481667","0.243583698931447",NA,"-0.246826354059456","0.21968203485009","1.13635451000516","1.1160929649906","0.469341430692745","-0.425749567958988","4.10764830703536","1.84572333538224",NA,"-1.69418821509534",NA,NA,"0.232899341572067",NA,"0.304664755964922","-1.58251457416276","-0.687833767436667","-0.0915763561493927","4.9669702236248"
"3","2013","18.838428620035","2","2","12","office","-0.656326008515344","0.243583698931447","-1.15066991292818","-0.246826354059456","0.21968203485009","1.13635451000516","1.1160929649906","0.469341430692745","-0.425749567958988","-0.243442464796621","-0.079101569979582","-0.804177641310145","-1.69418821509534",NA,NA,"0.232899341572067","-0.542479697931841","0.304664755964922","-0.946790045294711","-0.687833767436667","-0.0915763561493927","-0.201325150617104"
"3","2015","16.6624893255744","2","2",NA,NA,NA,NA,NA,NA,NA,"-0.879985972316203","-0.895961232396951",NA,NA,"-0.243442464796621",NA,NA,"-0.675027614890621","-1.20408719763077","-0.843255073289731","0.232899341572067",NA,NA,"-0.311065516426662","-0.687833767436667","-0.805498851594742","-0.201325150617104"
"3","2017","16.9357","2","2","3","management","-1.6742149481667","0.243583698931447",NA,"0.751496554424173",NA,"1.13635451000516","1.1160929649906","-2.13057812011653","-0.425749567958988","-0.243442464796621","-0.720709871766855",NA,NA,NA,NA,NA,NA,"0.304664755964922","0.324659012441388","1.45380479372082","0.622346139295956","-0.201325150617104"
"3","2019","16.9357","2","2","3","management","-0.656326008515344","0.243583698931447",NA,"0.751496554424173","0.618590607645329","1.13635451000516","1.1160929649906","-2.13057812011653","-0.425749567958988","-0.243442464796621","-0.720709871766855",NA,"-1.69418821509534",NA,NA,"0.232899341572067",NA,"0.304664755964922","0.960383541309437","1.45380479372082","1.33626863474131","-0.201325150617104"
"4","2011","15.0527259817997","2","2","13","office","-0.656326008515344","0.243583698931447",NA,"-0.246826354059456","0.490333052703171","1.13635451000516","1.1160929649906","0.469341430692745","-0.425749567958988","-0.243442464796621","-0.079101569979582",NA,"-0.675027614890621",NA,NA,"0.232899341572067",NA,"-1.72977444945071","-0.946790045294711","-0.687833767436667","0.622346139295956","4.9669702236248"
"4","2013","15.8195068455411","2","2","10","sales","0.361562931136014","0.243583698931447","-1.15066991292818","-0.246826354059456","-0.00656987453653343","1.13635451000516","1.1160929649906","0.469341430692745",NA,"-0.243442464796621","-0.079101569979582","-0.804177641310145","-0.675027614890621",NA,NA,"0.232899341572067","-0.542479697931841","-1.72977444945071","-0.311065516426662","-0.687833767436667","0.622346139295956","-0.201325150617104"
